entropy_mean,entropy_std,dominance_mean,dominance_std,consensus_mean,consensus_std,positive_bias_mean,positive_bias_std,s_type_mean,s_type_std,si_mean,si_std,network_type,N,density,avg_degree,clustering,avg_path_length
0.9979468455979881,0.0005228799431976627,0.22775032650677007,0.0037398107876306375,7.441207022958196e-07,7.360348186526144e-07,0.48020833333333335,0.001041666666666663,0.8322916666666667,0.011458333333333348,0.5738185437258845,0.008724820675612366,watts_strogatz,12,0.36363636363636365,4.0,0.5,1.9090909090909092
0.9951207939237162,0.00023852400465518286,0.2435194854780452,0.002480635196970102,0.00045493125178455994,0.0002080402771492712,0.48541666666666666,0.004166666666666652,0.8276041666666667,0.005729166666666674,0.606239623161761,0.002023292952472333,watts_strogatz,24,0.17391304347826086,4.0,0.4444444444444444,2.6594202898550723
0.9992554520998257,1.2025780112612239e-05,0.21370073313288485,0.0017320412318173328,0.007517145181324493,0.002240618286742338,0.4903645833333333,0.001822916666666674,0.8328125,0.004166666666666707,0.5616822950448861,0.005977469864924478,watts_strogatz,48,0.0851063829787234,4.0,0.41250000000000003,3.9893617021276597
0.9969978377922737,0.0003481036668163129,0.23589853058997484,0.0002273367431606943,6.936305946507922e-05,3.6983802922663234e-06,0.48020833333333335,0.001041666666666663,0.8322916666666667,0.011458333333333348,0.57234175119528,0.004726760217391657,grid,12,0.25757575757575757,2.8333333333333335,0.0,2.3333333333333335
0.9946073029494442,0.0001157868124984085,0.24518929077879065,0.0015785520918516066,0.0011620436552016618,0.0001071712380746083,0.48541666666666666,0.004166666666666652,0.8276041666666667,0.005729166666666674,0.6066063042078088,0.001935595342525076,grid,24,0.13768115942028986,3.1666666666666665,0.0,3.260869565217391
0.9991647272097329,0.00011829478607539023,0.2158016485935782,0.0015592017221555121,0.00589619140371922,0.000506965085192268,0.4903645833333333,0.001822916666666674,0.8325520833333333,0.00390625,0.5616450249645071,0.0055078567546387736,grid,48,0.0726950354609929,3.4166666666666665,0.0,4.6046099290780145
0.9977419226672657,0.0007278028739201026,0.23039787700617587,0.006387361287036625,1.1354553660939102e-17,1.1354553660939102e-17,0.48020833333333335,0.001041666666666663,0.8322916666666667,0.011458333333333348,0.5736714670509687,0.0088718508798733,complete,12,1.0,11.0,1.0,1.0
0.9950107520939772,0.0001456824879806362,0.24400065042533245,0.0006172059490050508,0.0,0.0,0.48541666666666666,0.004166666666666652,0.8276041666666667,0.005729166666666674,0.6062836508600106,0.0020330785548745567,complete,24,1.0,23.0,1.0,1.0
0.9992908747589854,3.7724906583713746e-05,0.2136312348143035,0.00013904318681401406,0.0,0.0,0.4901041666666667,0.0015624999999999944,0.83203125,0.00390625,0.5611188824168676,0.00554192423232841,complete,48,1.0,47.0,1.0,1.0
0.9972167709806447,0.001366471915517864,0.2279201937352099,0.017750902718022266,0.0018743250799861735,0.0018648035052077142,0.48020833333333335,0.001041666666666663,0.8333333333333333,0.012500000000000011,0.5758770931757808,0.019168325458257196,erdos_renyi,12,0.18181818181818182,2.0,0.0,inf
0.9935787632131967,0.0008132494165251636,0.25228320573792595,0.0026389393056490407,9.692788747223918e-09,9.677211870134135e-09,0.48541666666666666,0.004166666666666652,0.8276041666666667,0.005729166666666674,0.6052164442642869,0.003016020662404917,erdos_renyi,24,0.26811594202898553,6.166666666666667,0.29348845598845597,1.8514492753623188
0.9988893964197989,0.00040742098665697,0.21592311915707577,0.00471585162513416,1.0200174038743626e-15,6.453171330633722e-16,0.4901041666666667,0.0015624999999999944,0.83203125,0.00390625,0.5594973612988938,0.004482703792287823,erdos_renyi,48,0.29343971631205673,13.791666666666666,0.29552297064390726,1.7127659574468086
0.9969270676089562,0.00013062822036624677,0.2235404644940466,0.0027845020225872874,4.204282800374104e-08,2.9657509122149595e-08,0.48125,0.002083333333333326,0.8322916666666667,0.011458333333333348,0.5815217809230178,0.015614488940614568,barabasi_albert,12,0.30303030303030304,3.3333333333333335,0.4793650793650794,1.8333333333333333
0.9965234650254154,0.00059545392023308,0.22570729146317112,0.0054256539256158365,6.0476556456542005e-06,1.0980692832655382e-06,0.48541666666666666,0.004166666666666652,0.8276041666666667,0.005729166666666674,0.6081241365914354,0.002935754566469939,barabasi_albert,24,0.15942028985507245,3.6666666666666665,0.33863705738705735,2.181159420289855
0.9988807239637499,4.593262510432794e-05,0.2186827400395404,0.001444117833302963,2.7692028157125237e-05,3.9888204645815994e-06,0.4901041666666667,0.0015624999999999944,0.83203125,0.00390625,0.5594261200902305,0.005104147823749239,barabasi_albert,48,0.08156028368794327,3.8333333333333335,0.25605832076420315,2.6108156028368796
