[ep 82] R=-0.263 steps=29 tau=0.709 CI=0.072 gini=0.106
[ep 83] R=-0.238 steps=26 tau=0.667 CI=0.082 gini=0.167
[ep 84] R=-1.205 steps=127 tau=0.696 CI=0.055 gini=0.125
[ep 85] R=-0.165 steps=19 tau=0.687 CI=0.086 gini=0.120
[ep 86] R=-0.548 steps=60 tau=0.720 CI=0.058 gini=0.081
[ep 87] R=-0.054 steps=6 tau=0.734 CI=0.111 gini=0.151
[ep 88] R=-0.794 steps=83 tau=0.690 CI=0.052 gini=0.117
[ep 89] R=-0.188 steps=23 tau=0.692 CI=0.058 gini=0.126
[ep 90] R=-0.140 steps=16 tau=0.745 CI=0.078 gini=0.163
[ep 91] R=-0.400 steps=43 tau=0.680 CI=0.081 gini=0.099
[ep 92] R=-0.202 steps=22 tau=0.649 CI=0.093 gini=0.023
[ep 93] R=-0.451 steps=49 tau=0.739 CI=0.054 gini=0.090
[ep 94] R=-0.060 steps=6 tau=0.673 CI=0.106 gini=0.117
[ep 95] R=-0.068 steps=8 tau=0.675 CI=0.101 gini=0.105
[ep 96] R=-1.057 steps=111 tau=0.660 CI=0.058 gini=0.133
[ep 97] R=-0.077 steps=9 tau=0.771 CI=0.117 gini=0.181
[ep 98] R=-0.313 steps=35 tau=0.713 CI=0.082 gini=0.153
[ep 99] R=-0.085 steps=10 tau=0.648 CI=0.106 gini=0.115
OPE => IPS: -0.0082  DR: -0.0083  saved: runs/20250808_122946/policy.json
[ep 0] R=-0.731 steps=77 tau=0.674 CI=0.064 gini=0.040
[ep 1] R=-1.419 steps=146 tau=0.705 CI=0.050 gini=0.110
[ep 2] R=-0.235 steps=26 tau=0.707 CI=0.080 gini=0.092
[ep 3] R=-0.478 steps=51 tau=0.680 CI=0.071 gini=0.074
[ep 4] R=-0.888 steps=94 tau=0.696 CI=0.054 gini=0.090
[ep 5] R=-0.488 steps=54 tau=0.644 CI=0.072 gini=0.115
[ep 6] R=-0.141 steps=17 tau=0.757 CI=0.095 gini=0.065
[ep 7] R=-0.210 steps=24 tau=0.692 CI=0.071 gini=0.149
[ep 8] R=-0.368 steps=39 tau=0.657 CI=0.089 gini=0.078
[ep 9] R=-0.290 steps=31 tau=0.673 CI=0.097 gini=0.077
[ep 10] R=-0.087 steps=10 tau=0.713 CI=0.092 gini=0.150
[ep 11] R=-0.171 steps=18 tau=0.704 CI=0.111 gini=0.068
[ep 12] R=-0.092 steps=11 tau=0.727 CI=0.097 gini=0.124
[ep 13] R=-0.445 steps=47 tau=0.666 CI=0.070 gini=0.082
[ep 14] R=-0.190 steps=21 tau=0.805 CI=0.089 gini=0.186
[ep 15] R=-0.434 steps=49 tau=0.787 CI=0.071 gini=0.144
[ep 16] R=-0.213 steps=23 tau=0.686 CI=0.098 gini=0.096
[ep 17] R=-0.239 steps=27 tau=0.686 CI=0.074 gini=0.109
[ep 18] R=-0.383 steps=43 tau=0.712 CI=0.066 gini=0.061
[ep 19] R=-0.364 steps=40 tau=0.716 CI=0.075 gini=0.077
[ep 20] R=-0.516 steps=56 tau=0.652 CI=0.060 gini=0.098
[ep 21] R=-0.513 steps=55 tau=0.734 CI=0.065 gini=0.135
[ep 22] R=-0.850 steps=89 tau=0.760 CI=0.067 gini=0.114
[ep 23] R=-0.145 steps=16 tau=0.677 CI=0.094 gini=0.116
[ep 24] R=-0.145 steps=17 tau=0.696 CI=0.094 gini=0.089
[ep 25] R=-0.099 steps=10 tau=0.721 CI=0.101 gini=0.201
[ep 26] R=-0.139 steps=16 tau=0.670 CI=0.096 gini=0.136
[ep 27] R=-1.112 steps=117 tau=0.729 CI=0.058 gini=0.174
[ep 28] R=-0.272 steps=30 tau=0.768 CI=0.071 gini=0.119
[ep 29] R=-0.111 steps=13 tau=0.784 CI=0.090 gini=0.126
[ep 30] R=-0.636 steps=67 tau=0.643 CI=0.056 gini=0.144
[ep 31] R=-0.130 steps=14 tau=0.706 CI=0.089 gini=0.171
[ep 32] R=-0.079 steps=8 tau=0.672 CI=0.116 gini=0.130
[ep 33] R=-0.120 steps=12 tau=0.690 CI=0.118 gini=0.087
[ep 34] R=-0.167 steps=18 tau=0.658 CI=0.098 gini=0.058
[ep 35] R=-0.244 steps=29 tau=0.695 CI=0.075 gini=0.080
[ep 36] R=-0.766 steps=83 tau=0.681 CI=0.059 gini=0.168
[ep 37] R=-0.485 steps=53 tau=0.727 CI=0.061 gini=0.081
[ep 38] R=-0.360 steps=39 tau=0.678 CI=0.078 gini=0.105
[ep 39] R=-0.402 steps=43 tau=0.713 CI=0.072 gini=0.082
[ep 40] R=-0.159 steps=19 tau=0.712 CI=0.066 gini=0.069
[ep 41] R=-0.172 steps=20 tau=0.678 CI=0.100 gini=0.073
[ep 42] R=-0.580 steps=62 tau=0.715 CI=0.061 gini=0.168
[ep 43] R=-0.458 steps=51 tau=0.716 CI=0.064 gini=0.112
