condition,trials,mean_rounds,median_rounds,not_conv_rate,mean_rank_reversals,mean_CI_area,mean_final_gap,mean_w_reject_rate
Base,24,38.333333333333336,50.0,0.625,24.666666666666668,0.4691977632293977,0.2237939094520872,0.0
M1,24,39.791666666666664,50.0,0.6666666666666666,19.333333333333332,0.3856387860303953,0.19751343914659605,0.0
M2,24,45.0,50.0,0.875,28.416666666666668,0.0,0.21116243936115867,0.0
MSC,24,30.625,50.0,0.5416666666666666,18.958333333333332,0.0,0.1887689299551304,0.0
NoGossip,24,50.0,50.0,1.0,16.833333333333332,0.6370279099278954,0.9025811630066815,0.0
Wdirect_MSC,24,3.2083333333333335,3.0,0.0,2.9583333333333335,0.0,0.08856027224760031,0.0
