method,entropy_mean,entropy_std,dominance_mean,dominance_std,consensus_mean,consensus_std,convergence_mean,convergence_std,si_mean,si_std
DeGroot,0.9784168026249472,0.00981864831136178,0.2818382460601247,0.0191533385982954,0.017914675114376766,0.011887629455335325,8.666666666666666,1.699673171197595,0.5,0.0
Cultural_Competition,0.9786139547837385,0.0019010055404957323,0.28266047536616146,0.011920096284169646,0.7644590054160969,0.09592180063963425,43.0,1.632993161855452,0.5,0.0
Simple_Dung_AF,0.733293153743857,0.07157470124625917,0.5268124165811509,0.07433578593713792,1.1160497273963803,0.12934152533313875,200.0,0.0,0.5,0.0
P2P_RBCS,0.8626006141358459,0.0,0.49,0.0,0.15,0.0,45.0,0.0,0.75,0.0
