step,crit_0,crit_1,crit_2,crit_3,crit_4
0,0.026898813730651977,0.03309282332571863,0.01789478836941878,0.021077840450653657,0.029848769352394278
1,0.01181009183222974,0.030310683696044154,0.009267928784442644,0.010230308899651612,0.021582887987147022
2,0.004628343260068807,0.027794956751669403,0.006945116811654384,0.0066067593169620185,0.01787335372300277
3,0.005669725300024769,0.02726363331050834,0.007932334001962279,0.0052183439733636235,0.014247945124317221
4,0.007196590793873733,0.028476386656927744,0.009238509639360562,0.008545382503017862,0.009936172545316362
5,0.012299309652891449,0.03148118768738522,0.008845946435608843,0.010783989190176478,0.006427695186370268
6,0.020970002694533932,0.03744257942065674,0.006152224040551109,0.016535815872253817,0.004684122560240887
7,0.030753426661101233,0.041515023296896186,0.0044573832784490135,0.017184417193944895,0.007488093585697607
8,0.0382121514651619,0.04489100343246463,0.0032589854556303957,0.017466905777043462,0.00982453214402971
9,0.04392013801104858,0.048250825808501006,0.004247710252708162,0.017018984680229363,0.010501512879632647
10,0.05298699711477514,0.05214794212844328,0.005136423077783237,0.016747165167443488,0.011164946886828009
11,0.055394323747811836,0.05895626375785493,0.004476747802521143,0.01927600916224308,0.010354987067401256
12,0.047711005551399045,0.059234776211481995,0.005103398698381713,0.02238236044965572,0.009617571056417367
13,0.03988401190360159,0.05756749386824553,0.0067579195215146,0.02466622010962073,0.008732224123024367
14,0.034184441593703804,0.05645198428544553,0.008111422288344486,0.025589588252413874,0.007362488449628365
15,0.03151386150283037,0.05456255503447425,0.008727680751587216,0.02653946907683026,0.008219172314349413
16,0.03005141709249697,0.0539417368111146,0.00932989333030925,0.026863516255364487,0.008472129145621461
17,0.028959993043101057,0.05219465357993349,0.011580949244668797,0.024263257945922847,0.009089657231766668
18,0.02296196105484702,0.049520482055788934,0.01703893956303603,0.02273801064565532,0.009075591432701861
19,0.01786970561384647,0.04748701073368045,0.022489227563931683,0.02092992974760249,0.00916504956046058
20,0.013546497639404872,0.04589318692977499,0.026582431419733165,0.0199427475539645,0.009484601301312323
21,0.01458326496817034,0.05035321664564087,0.029304014195217387,0.016830343083711275,0.009015048786203725
22,0.012233373853374327,0.051479395728551654,0.03385482022950539,0.014929652098104174,0.00790596878195756
23,0.01373648015418145,0.05307666553251974,0.035908380081378595,0.012955051525176444,0.00912037029972556
24,0.014635065118973703,0.05414104906613182,0.03739945140052334,0.011708272661130706,0.009929091794339815
25,0.014969136658340534,0.05455653829695963,0.037329942931141766,0.010521116649333653,0.004513781721442234
26,0.01570923992691584,0.05363373876881464,0.03706455906742783,0.009541797808747638,0.004012698347412291
27,0.010147635104012629,0.043022672411102296,0.035894167841220265,0.00699312285531672,0.004918159984869598
28,0.00978239401395474,0.0355393330663479,0.03609727792892442,0.004881345546189068,0.009362348955831238
29,0.019424955063037135,0.03034806615271905,0.04429361675279576,0.0023098778803813287,0.014336314040013941
30,0.025118228403560053,0.029944860675769333,0.05239849905626586,0.00244954429330591,0.018520234940903917
31,0.03037479557230359,0.02972783457297487,0.058340414732007316,0.003375929664494125,0.021768500901955645
32,0.034592906409958234,0.0323594870608095,0.06237905295751436,0.004062959771932904,0.023722276189204385
33,0.03372213197218377,0.03596134317043797,0.06543314650636096,0.005325161439708028,0.023752483515152117
34,0.03061638780198551,0.0372375748619549,0.06688018274220967,0.0073500531827817355,0.02287895757744481
35,0.02833660497641427,0.03844155917098258,0.0631727497469139,0.008868365795542819,0.023610652338618185
36,0.025920659111139988,0.04229103582548244,0.06131051429637374,0.010761747777821863,0.027765529416693132
37,0.022619187233308538,0.04535918186838492,0.057637808692200206,0.01231779373911746,0.03150878921498693
38,0.018619344926190978,0.04667109127884931,0.05725838644002864,0.01338741621975545,0.03258921196761172
39,0.013714999365096093,0.048344817719807386,0.05335004446422834,0.013518071021897206,0.03247926642859875
40,0.01008286591783944,0.04935548671306364,0.050616149372456766,0.013399082373079171,0.03211059126250407
41,0.0077068751470955,0.05036858898216142,0.048079130038816205,0.01297324292455275,0.031778295086117854
42,0.009852145689876746,0.05018799074571223,0.03853762883510851,0.012160930034486631,0.030984693395191134
43,0.012988725983302049,0.050095268386272346,0.03402069996475351,0.011499526129451309,0.029388449456542887
44,0.01717677067726832,0.04955476119093693,0.03018916863686363,0.010554804208712678,0.027200077643467758
45,0.02012917452295172,0.05072184971553014,0.02662520079863583,0.009960572706724817,0.02638166659901865
46,0.03422087144004179,0.04740945135604336,0.009835600629762603,0.008605238757720067,0.021165143176893515
47,0.046634400966865545,0.04410327967464243,0.010998944197979347,0.007519306313969117,0.01601318320493857
48,0.05491135114045614,0.03973247940603302,0.017789020473040082,0.0060045535778509495,0.009822073115616538
49,0.05899932462494651,0.034151261117713515,0.022062336762949646,0.005548474214127667,0.005564420191835939
50,0.06559251034288743,0.02999211738107517,0.027607071280421253,0.005240477397289232,0.00689125139727232
51,0.06867992262085082,0.026032492595437013,0.0311655169886841,0.00429708221481384,0.010241547188430808
52,0.07202633316234679,0.021266797387081194,0.035753907031880576,0.003774973663901104,0.014651455908563218
53,0.07511585123505825,0.015597214178193793,0.037035165995812414,0.0026915207708004,0.021436390832897504
54,0.07444204961177654,0.01154282390823811,0.0354234887749314,0.0014172796521080427,0.027569049059366867
55,0.0735294625758831,0.009931246040776822,0.03619831864064782,0.0013237377411647311,0.028641198723260184
56,0.07125796745690079,0.007570200071850659,0.03675990139056661,0.0018397349815466011,0.029373277175385116
57,0.07056524599624348,0.00558289178417182,0.037097419922455306,0.0022961165980527262,0.03161087155352433
58,0.0715531452174716,0.004360007799632106,0.0376860428215471,0.0027629604099024783,0.033928180746073476
59,0.06624561507931208,0.004379047991576578,0.03425451389992316,0.003565267008322726,0.03415102082023084
60,0.05950942548546623,0.003845072690701081,0.02989466613845833,0.00428009802481697,0.03442159129576514
61,0.04420445006802798,0.0040134710527559144,0.024169569942578312,0.008123310543148944,0.028374821672569755
62,0.03385858925176898,0.003440248938100064,0.020093304562264342,0.011373262155779898,0.025776463515441942
63,0.027987799852891626,0.005143998157124282,0.016235502235926975,0.015734794691104306,0.028849611170965867
64,0.022735308256726764,0.006356276739602784,0.012988080125166885,0.015903068521499097,0.03044852341623114
65,0.019154483767072905,0.006971390333642816,0.008590365141722773,0.01663661266951955,0.03457777673235483
66,0.017551376534051352,0.007822677014274753,0.005613149164141038,0.018927875076582064,0.040094693864043233
