step,dSI,dConsensus,ownAccepted
0,0.044063378924714396,0.8767152483738477,1.0
1,0.01654626878819199,0.0635062091938645,0.9166666666666666
2,0.02142812398938662,0.01729137349179461,0.9166666666666666
3,0.01827614743362517,0.004719686428051673,0.8333333333333334
4,0.017398476364226177,-0.0029146248522000004,0.9166666666666666
5,0.031927234110514006,-0.004011909787342417,0.75
6,0.04120321532593283,-0.008922384966926352,1.0
7,0.04914050139656274,-0.009305044555183507,0.5833333333333334
8,0.03816581038410909,-0.005930345311280616,0.5
9,0.02624568307660895,-0.006145198164135395,0.5833333333333334
10,0.020801202932948293,-0.0064930968699731875,0.5833333333333334
11,0.009933567479718223,-0.007034278673890199,0.5
12,0.008875077539887552,0.0022222898574715036,0.25
13,0.007562518813581072,0.0030962336046232767,0.5833333333333334
14,0.0067878056519723355,0.002974928766765419,0.5
15,-0.0008924216139070684,0.00030207601739353694,0.5833333333333334
16,-0.00412104958981641,-0.00010801343692513436,0.5
17,-0.005060562384559264,0.00039879261593374235,0.6666666666666666
18,-0.00028011127335876573,0.0024806679628194936,0.5833333333333334
19,0.0014748475981371661,-1.8126509933978398e-06,0.5833333333333334
20,-0.00024451050822690373,0.0001915676658382244,0.5833333333333334
21,-0.0005050469741588135,-0.0009040194332119821,0.5833333333333334
22,-0.0015858906902591157,0.0016666861494051444,0.5
23,-0.002079910087074232,-0.0027963278188490553,0.25
24,-0.0018281935810835297,-0.0007390906232048218,0.4166666666666667
25,0.0018384281998145198,0.0014017896222861634,0.16666666666666666
26,0.0002493315995256891,0.001215273892029899,0.4166666666666667
27,0.0027604881173591785,0.01138071331200799,0.4166666666666667
28,0.002574742499748544,0.004082251826086293,0.6666666666666666
29,0.0006614153421876054,-0.01124842920020751,0.5
30,2.6256482474285026e-05,-0.009453442192008802,0.4166666666666667
31,0.00377587308245686,-0.010009953479223248,0.3333333333333333
32,-0.001932109283389281,-0.006430440259489395,0.5
33,-0.006006640281550267,-0.003217909329581195,0.5
34,-0.003146276516490002,-0.0009366551163416149,0.3333333333333333
35,-0.007807785583499871,0.0028503180721741544,0.5833333333333334
36,-0.006353016296840074,-0.00197507551870387,0.75
37,0.0046494768912333645,-0.0024910750404836903,0.3333333333333333
38,0.012018887877521653,-0.0010158046360186287,0.4166666666666667
39,0.02132968505695403,0.0033303989795648095,0.3333333333333333
40,0.014033241964863006,0.0020044316461187207,0.5833333333333334
41,0.005734660784855248,0.0019312177390100594,0.5
42,0.00033600350259838097,0.005340644706009097,0.3333333333333333
43,-0.00020958987111370045,0.0028033556837694655,0.5
44,-0.0019164518143748404,0.0018689265912678638,0.25
45,-0.0027735595390242693,0.0015203385026881205,0.5833333333333334
46,-0.004423402706180181,0.01189154375657102,0.25
47,-0.006734350221290967,0.0025832456860800184,0.5
48,-0.011237040923930916,0.0019031356464344774,0.5833333333333334
49,-0.012893776596125011,-0.0015139537988315861,0.5
50,-0.012962176192630076,-0.005027308861133582,0.4166666666666667
51,-0.014806818786734533,-0.002029558585350145,0.5833333333333334
52,-0.015741688946562273,-0.004249592368019962,0.4166666666666667
53,-0.0226211140934245,-0.003503382688780991,0.4166666666666667
54,-0.01687189818653491,0.0005748427439541381,0.5
55,-0.011059082198177037,-0.0013145632945029764,0.5833333333333334
56,-0.013877511957679375,0.0007952722905028454,0.4166666666666667
57,-0.01128730457041296,-0.0005320973366662625,0.5
58,-0.0020220263721989575,-0.002893965736386273,0.3333333333333333
59,-0.003040076995487362,0.0024418715207732908,0.5
60,-0.010590431549230441,0.00491108710631136,0.3333333333333333
61,-0.008654263608932932,0.008853676974136526,0.5833333333333334
62,-0.018325035892561643,0.009922119256127475,0.4166666666666667
63,-0.0240488491596436,0.0013104774472501967,0.75
64,-0.004591632757694915,0.0074468286882406745,0.25
65,0.016339785915821872,0.0011081527673454817,0.25
66,0.03161405908412075,-0.0038042393340753967,0.4166666666666667
67,0.028934869050351964,-0.0031421977353471363,0.5
68,0.015379524925865964,-0.0019073700629373778,0.5833333333333334
69,0.00917982281299834,0.0111878763806682,0.3333333333333333
70,0.0034893820761267105,0.009654940666082466,0.3333333333333333
71,0.004636187641703214,0.00505869993671427,0.6666666666666666
72,0.008512428799495647,0.0030814100194166034,0.0
73,0.0027328757047894864,0.0028629752639196386,0.5
74,0.004297517267005058,0.0001784217430106473,0.4166666666666667
75,-0.0008263555254348723,-0.003176040619117832,0.25
76,0.006806130204380358,-0.005433134747975822,0.6666666666666666
77,0.01509770083907667,-0.0013138958613576935,0.3333333333333333
78,0.00935280599165981,0.002627783998574089,0.5
79,0.0035058016077367435,-0.0007353052529576687,0.4166666666666667
80,0.0018216905952048261,-0.007322546803662719,0.4166666666666667
81,0.005445722179365324,0.007090497030994329,0.25
82,0.004839836674981539,0.0023255271916816796,0.5833333333333334
83,0.0018087207598897481,-0.006420575459349834,0.5
84,0.003078831031775762,-0.0003864090373550356,0.5833333333333334
85,0.0017506187583531303,-0.003663509694357239,0.25
86,0.0015500401641027524,-0.0007240113276044072,0.4166666666666667
87,-0.0003537005172085106,-0.0046475172161332045,0.16666666666666666
88,-0.002631510990148587,-0.009484931487445726,0.5
89,-0.0008363625079691647,-2.5610883050133e-05,0.25
90,-0.0005109360457859294,-0.005546537756020699,0.4166666666666667
91,0.004096768198064676,-0.006201852526643916,0.5833333333333334
92,0.0012132132204766093,-0.007540562091426256,0.5
93,-0.0013032170881063048,-0.002788980477254043,0.5
94,0.0006280625333824249,-0.0020810257030572017,0.5833333333333334
95,6.012167580422371e-05,0.005420700948391213,0.5
96,-0.001554721734911298,0.0032657823929431486,0.4166666666666667
97,0.003990010140755729,0.012008825831951161,0.4166666666666667
98,0.00323331167565045,0.0008502484701283369,0.4166666666666667
